
央卫V4-爱尚,#genre#
广东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/gdws-hd/2500.m3u8?innersid=2310031483208039305&amp
黑龙江台,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hljws-hd/2500.m3u8?innersid=3559146512286674480&amp
湖南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hnws-hd/2500.m3u8?innersid=11355377224826061225&amp
吉林卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jlws-hd/2500.m3u8?innersid=11095614579634751142&amp
江苏卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jsws-hd/2500.m3u8?innersid=14912719076157451667&amp
江西卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jxws-hd/2500.m3u8?innersid=14570431181364255736&amp
辽宁卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/lnws-hd/2500.m3u8?innersid=6324592032119595697&amp
四川卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/scws-hd/2500.m3u8?innersid=17534924581903335933&amp
上海卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/shdfws-hd/2500.m3u8?innersid=6998114529464369318&amp
深圳卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/szws-hd/2500.m3u8?innersid=15000776628606995758&amp
云南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/ynws-hd/2500.m3u8?innersid=17488930753778751907&amp
浙江卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/zsws-hd/2500.m3u8?innersid=6252212644869032383&amp
北京卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/bjws-hd/1.m3u8?innersid=18360129623627541611&amp

浙江卫视,http://58.19.43.46:9901/tsfile/live/1037_1.m3u8?key=txiptv
江苏卫视,http://58.19.43.46:9901/tsfile/live/1038_1.m3u8?key=txiptv
上海卫视,http://58.19.43.46:9901/tsfile/live/1035_1.m3u8?key=txiptv
广东卫视,http://58.19.43.46:9901/tsfile/live/1039_1.m3u8?key=txiptv
湖南卫视,http://58.19.43.46:9901/tsfile/live/1036_1.m3u8?key=txiptv
中国教育,http://58.19.43.46:9901/tsfile/live/1018_1.m3u8?key=txiptv
安徽卫视,http://58.19.43.46:9901/tsfile/live/1040_1.m3u8?key=txiptv
辽宁卫视,http://58.19.43.46:9901/tsfile/live/1041_1.m3u8?key=txiptv
重庆卫视,http://58.19.43.46:9901/tsfile/live/1042_1.m3u8?key=txiptv
四川卫视,http://58.19.43.46:9901/tsfile/live/1043_1.m3u8?key=txiptv
湖北卫视,http://58.19.43.46:9901/tsfile/live/1044_1.m3u8?key=txiptv
江西卫视,http://58.19.43.46:9901/tsfile/live/1045_1.m3u8?key=txiptv
东南卫视,http://58.19.43.46:9901/tsfile/live/1046_1.m3u8?key=txiptv
金鹰卡通,http://58.19.43.46:9901/tsfile/live/1000_1.m3u8?key=txiptv
BTV卡通,http://58.19.43.46:9901/tsfile/live/1001_1.m3u8?key=txiptv
宁夏卫视,http://58.19.43.46:9901/tsfile/live/1003_1.m3u8?key=txiptv
广西卫视,http://58.19.43.46:9901/tsfile/live/1004_1.m3u8?key=txiptv
旅游卫视,http://58.19.43.46:9901/tsfile/live/1005_1.m3u8?key=txiptv
河南卫视,http://58.19.43.46:9901/tsfile/live/1006_1.m3u8?key=txiptv
吉林卫视,http://58.19.43.46:9901/tsfile/live/1007_1.m3u8?key=txiptv
黑龙江卫视,http://58.19.43.46:9901/tsfile/live/1008_1.m3u8?key=txiptv
山西卫视,http://58.19.43.46:9901/tsfile/live/1009_1.m3u8?key=txiptv
云南卫视,http://58.19.43.46:9901/tsfile/live/1010_1.m3u8?key=txiptv
贵州卫视,http://58.19.43.46:9901/tsfile/live/1011_1.m3u8?key=txiptv
经典电影,http://58.19.43.46:9901/tsfile/live/1012_1.m3u8?key=txiptv
陕西卫视,http://58.19.43.46:9901/tsfile/live/1013_1.m3u8?key=txiptv
青海卫视,http://58.19.43.46:9901/tsfile/live/1014_1.m3u8?key=txiptv

湖南卫视,http://120.238.94.10:9901/tsfile/live/1043_1.m3u8?key=txiptv
浙江卫视,http://120.238.94.10:9901/tsfile/live/1044_1.m3u8?key=txiptv
江苏卫视,http://120.238.94.10:9901/tsfile/live/1045_1.m3u8?key=txiptv
东方卫视,http://120.238.94.10:9901/tsfile/live/1046_1.m3u8?key=txiptv
黑龙江卫视,http://120.238.94.10:9901/tsfile/live/1049_1.m3u8?key=txiptv
北京卫视,http://120.238.94.10:9901/tsfile/live/1050_1.m3u8?key=txiptv
天津卫视,http://120.238.94.10:9901/tsfile/live/1051_1.m3u8?key=txiptv
山东卫视,http://120.238.94.10:9901/tsfile/live/1052_1.m3u8?key=txiptv
江西卫视,http://120.238.94.10:9901/tsfile/live/1053_1.m3u8?key=txiptv
深圳卫视,http://120.238.94.10:9901/tsfile/live/1054_1.m3u8?key=txiptv
湖北卫视,http://120.238.94.10:9901/tsfile/live/1055_1.m3u8?key=txiptv
辽宁卫视,http://120.238.94.10:9901/tsfile/live/1056_1.m3u8?key=txiptv
贵州卫视,http://120.238.94.10:9901/tsfile/live/1057_1.m3u8?key=txiptv
四川卫视,http://120.238.94.10:9901/tsfile/live/1058_1.m3u8?key=txiptv
金鹰纪实,http://120.238.94.10:9901/tsfile/live/1059_1.m3u8?key=txiptv
安徽卫视,http://120.238.94.10:9901/tsfile/live/1060_1.m3u8?key=txiptv
CETV1,http://120.238.94.10:9901/tsfile/live/1061_1.m3u8?key=txiptv
山东教育,http://120.238.94.10:9901/tsfile/live/1062_1.m3u8?key=txiptv
重庆卫视,http://120.238.94.10:9901/tsfile/live/1063_1.m3u8?key=txiptv
河北卫视,http://120.238.94.10:9901/tsfile/live/1064_1.m3u8?key=txiptv
东南卫视,http://120.238.94.10:9901/tsfile/live/1065_1.m3u8?key=txiptv
吉林卫视,http://120.238.94.10:9901/tsfile/live/1066_1.m3u8?key=txiptv
广西卫视,http://120.238.94.10:9901/tsfile/live/1067_1.m3u8?key=txiptv
河南卫视,http://120.238.94.10:9901/tsfile/live/1068_1.m3u8?key=txiptv
云南卫视,http://120.238.94.10:9901/tsfile/live/1069_1.m3u8?key=txiptv
